"","beta0.0","beta0.1","beta.0","beta.1","sigma.sq","tau.sq","phi"
"5%",1.28276186924093,1.11199616831685,0.204298258125968,0.000179440554130228,0.0604839028044417,0.0202332565755987,0.000210231556455599
"10%",2.57541860747115,2.22093658499961,0.410305680717018,0.00035925328345355,0.121081586088394,0.0405405612551372,0.000420702351243556
"15%",3.86795746476374,3.35533671168269,0.617287215329687,0.000540433167449056,0.182322414102629,0.0610598764188172,0.000635938678168113
"20%",5.17512665721984,4.48939062542688,0.826506613543375,0.000724282507877919,0.244367220708572,0.0819065444159619,0.000855362361412454
"25%",6.51203808816551,5.63935042078628,1.03936676456468,0.000911122959159294,0.307437243246363,0.103136489333765,0.00108178761761943
"30%",7.8983249293336,6.82613252811802,1.25620856417927,0.00110203208440564,0.372060574226583,0.124877876297981,0.00131783107599745
"35%",9.29512068283003,8.03833559297201,1.47940528601102,0.00129759718868395,0.438720523563516,0.14724462746043,0.00157075331230494
"40%",10.731951436323,9.31755966421467,1.71004733159395,0.00149896149322545,0.507774680618671,0.170466145631156,0.00183459640739179
"45%",12.2533887220413,10.6479854541318,1.94898604070245,0.00170956746827182,0.580149165775804,0.194705866811154,0.00212502428563296
"50%",13.8470943925049,12.0386740622864,2.19859763548498,0.00193021737230481,0.656427400223744,0.220247697888858,0.00244635219239168
